method,timestamp,session_id,phase,time_taken_sec
pattern,2025-04-22T14:11:47.022432,127.0.0.1,create,
pattern,2025-04-22T14:11:53.191408,127.0.0.1,confirm,
image,2025-04-22T14:12:42.802059,127.0.0.1,create,13.95
image,2025-04-22T14:12:48.659334,127.0.0.1,confirm,5.73
image,2025-04-22T14:12:58.056776,127.0.0.1,login,7.31
pattern,2025-04-22T14:13:05.655416,127.0.0.1,create,
pattern,2025-04-22T14:13:20.354609,127.0.0.1,confirm,
image,2025-04-22T14:17:18.584658,127.0.0.1,create,11.81
image,2025-04-22T14:17:22.896509,127.0.0.1,confirm,4.20
image,2025-04-22T14:17:31.340148,127.0.0.1,login,6.01
pin,2025-04-22T14:17:36.047925,127.0.0.1,create,2.46
pin,2025-04-22T14:19:45.331174,127.0.0.1,confirm,131.74
pin,2025-04-22T14:19:52.942004,127.0.0.1,create,2.01
pin,2025-04-22T14:19:57.622797,127.0.0.1,confirm,2.58
pin,2025-04-22T14:21:06.582187,127.0.0.1,create,2.38
pin,2025-04-22T14:21:10.990005,127.0.0.1,confirm,2.70
pin,2025-04-22T14:21:19.149418,127.0.0.1,login,2.81
pin,2025-04-25T23:18:27.754095,127.0.0.1,create,3.35
pin,2025-04-25T23:18:32.357889,127.0.0.1,confirm,3.01
pin,2025-04-25T23:18:38.611475,127.0.0.1,create,4.65
pin,2025-04-25T23:18:42.492482,127.0.0.1,confirm,2.31
Pin,2025-04-26T00:05:34.705845,127.0.0.1,create,2.99,4,0
Pin,2025-04-26T00:05:38.123996,127.0.0.1,confirm,1.83,4,0
Pin,2025-04-26T00:05:47.432401,127.0.0.1,login,5.95,4,0
unknown,Pin,2025-04-26T00:36:01.046555,create,9.68,4,0
unknown,Pin,2025-04-26T00:36:10.988143,confirm,8.35,4,0
unknown,Pin,2025-04-26T00:37:07.563797,login,7.98,4,0
unknown,Image,2025-04-26T00:39:32.990126,create,117.85,5,0
unknown,Image,2025-04-26T00:39:47.554634,confirm,14.48,5,0
unknown,Image,2025-04-26T00:41:23.122128,login,25.84,5,0
unknown,Pin,2025-04-26T01:02:55.750293,create,2.98,4,0
unknown,Pin,2025-04-26T01:02:58.999008,confirm,2.66,4,0
unknown,Password,2025-04-26T01:18:33.259925,create,4.53,9,0
unknown,Password,2025-04-26T01:18:40.408582,confirm,7.07,9,0
unknown,Password,2025-04-26T01:19:25.568048,create,10.76,9,0
unknown,Password,2025-04-26T01:19:31.370900,confirm,5.74,9,0
unknown,Password,2025-04-26T01:21:05.026405,create,5.40,9,0
unknown,Password,2025-04-26T01:21:09.420845,confirm,4.33,9,0
unknown,Password,2025-04-26T01:21:54.469440,create,5.03,9,0
unknown,Password,2025-04-26T01:21:59.214088,confirm,4.68,9,0
unknown,Password,2025-04-26T01:22:36.846694,create,4.25,9,0
unknown,Password,2025-04-26T01:22:40.873458,confirm,3.96,9,0
unknown,Password,2025-04-26T01:25:53.719890,create,5.41,9,0
unknown,Password,2025-04-26T01:26:01.694630,confirm,7.91,9,0
unknown,Password,2025-04-26T01:26:11.710974,login,7.93,9,0
unknown,Password,2025-04-26T01:26:22.920890,create,4.59,9,0
unknown,Password,2025-04-26T01:26:36.017914,confirm,13.03,9,0
